,number,value,datetime_start,datetime_complete,duration,params_voltage,params_width,params_x,params_y,params_z,state
1584,1584,0.6875,2026-04-04 22:50:43.987040,2026-04-04 22:50:50.670599,0 days 00:00:06.683559,454,2,123.6,155.0,0.84,COMPLETE
1585,1585,0.6875,2026-04-04 22:50:50.684046,2026-04-04 22:50:58.366591,0 days 00:00:07.682545,447,1,113.9,151.2,0.88,COMPLETE
1586,1586,0.6875,2026-04-04 22:50:58.379298,2026-04-04 22:51:05.762818,0 days 00:00:07.383520,400,2,116.9,159.7,1.6400000000000001,COMPLETE
1587,1587,0.6875,2026-04-04 22:51:05.775550,2026-04-04 22:51:13.418515,0 days 00:00:07.642965,240,2,125.3,155.6,0.17,COMPLETE
1588,1588,0.671875,2026-04-04 22:51:13.431653,2026-04-04 22:51:20.033489,0 days 00:00:06.601836,317,1,123.2,153.7,0.12,COMPLETE
1589,1589,0.6875,2026-04-04 22:51:20.046529,2026-04-04 22:51:26.987075,0 days 00:00:06.940546,248,1,120.3,156.7,0.64,COMPLETE
1590,1590,0.6875,2026-04-04 22:51:27.000141,2026-04-04 22:51:33.664729,0 days 00:00:06.664588,313,3,120.6,156.1,1.98,COMPLETE
1591,1591,0.825,2026-04-04 22:51:33.677894,2026-04-04 22:52:07.908758,0 days 00:00:34.230864,326,1,121.3,154.6,0.03,COMPLETE
1592,1592,0.825,2026-04-04 22:52:07.921789,2026-04-04 22:52:41.715204,0 days 00:00:33.793415,481,2,122.1,155.2,0.08,COMPLETE
1593,1593,0.825,2026-04-04 22:52:41.728421,2026-04-04 22:53:37.497306,0 days 00:00:55.768885,295,1,125.1,153.4,0.32,COMPLETE
1594,1594,0.825,2026-04-04 22:53:37.506685,2026-04-04 22:53:54.801477,0 days 00:00:17.294792,304,2,126.1,154.9,0.09,COMPLETE
1595,1595,0.6875,2026-04-04 22:53:54.814386,2026-04-04 22:54:01.533448,0 days 00:00:06.719062,334,1,123.0,154.2,0.63,COMPLETE
1596,1596,0.825,2026-04-04 22:54:01.546829,2026-04-04 22:54:35.360963,0 days 00:00:33.814134,339,1,121.1,152.8,0.15,COMPLETE
1597,1597,0.825,2026-04-04 22:54:35.373806,2026-04-04 22:55:09.415509,0 days 00:00:34.041703,405,1,123.0,153.6,0.09,COMPLETE
1598,1598,0.825,2026-04-04 22:55:09.428827,2026-04-04 22:55:22.991895,0 days 00:00:13.563068,352,1,118.2,154.1,0.03,COMPLETE
1599,1599,0.6875,2026-04-04 22:55:23.005273,2026-04-04 22:55:30.292788,0 days 00:00:07.287515,486,1,125.1,152.3,1.41,COMPLETE
1600,1600,0.6875,2026-04-04 22:55:30.306137,2026-04-04 22:55:36.956209,0 days 00:00:06.650072,497,1,123.4,155.0,1.22,COMPLETE
1601,1601,0.6875,2026-04-04 22:55:36.969390,2026-04-04 22:55:44.553707,0 days 00:00:07.584317,162,1,121.0,151.5,1.1300000000000001,COMPLETE
1602,1602,0.6875,2026-04-04 22:55:44.566514,2026-04-04 22:55:51.732565,0 days 00:00:07.166051,350,1,126.6,154.7,0.28,COMPLETE
1603,1603,0.6875,2026-04-04 22:55:51.745359,2026-04-04 22:55:58.756295,0 days 00:00:07.010936,254,1,122.8,152.3,0.03,COMPLETE
1604,1604,0.6875,2026-04-04 22:55:58.769359,2026-04-04 22:56:05.604283,0 days 00:00:06.834924,324,1,120.9,155.0,0.05,COMPLETE
1605,1605,0.6875,2026-04-04 22:56:05.617281,2026-04-04 22:56:12.249751,0 days 00:00:06.632470,360,1,122.8,152.1,0.04,COMPLETE
1606,1606,0.6875,2026-04-04 22:56:12.262923,2026-04-04 22:56:19.059252,0 days 00:00:06.796329,309,1,122.0,152.3,0.12,COMPLETE
1607,1607,0.6875,2026-04-04 22:56:19.073525,2026-04-04 22:56:26.010239,0 days 00:00:06.936714,404,1,124.0,157.7,0.58,COMPLETE
1608,1608,0.825,2026-04-04 22:56:26.023082,2026-04-04 22:57:00.259130,0 days 00:00:34.236048,337,1,124.0,154.5,0.07,COMPLETE
1609,1609,0.6875,2026-04-04 22:57:00.272233,2026-04-04 22:57:06.898760,0 days 00:00:06.626527,500,3,123.4,151.2,0.34,COMPLETE
1610,1610,0.6875,2026-04-04 22:57:06.911541,2026-04-04 22:57:13.578236,0 days 00:00:06.666695,473,3,125.6,148.3,0.03,COMPLETE
1611,1611,0.825,2026-04-04 22:57:13.591062,2026-04-04 22:57:48.399345,0 days 00:00:34.808283,307,1,123.2,155.6,0.11,COMPLETE
1612,1612,0.6875,2026-04-04 22:57:48.412097,2026-04-04 22:57:55.971673,0 days 00:00:07.559576,497,3,114.1,157.9,0.6900000000000001,COMPLETE
1613,1613,0.6875,2026-04-04 22:57:55.984630,2026-04-04 22:58:03.898487,0 days 00:00:07.913857,266,1,123.9,154.9,0.0,COMPLETE
1614,1614,0.6875,2026-04-04 22:58:03.908717,2026-04-04 22:58:10.372568,0 days 00:00:06.463851,353,1,123.7,154.9,0.41000000000000003,COMPLETE
1615,1615,0.825,2026-04-04 22:58:10.385292,2026-04-04 22:58:44.724885,0 days 00:00:34.339593,299,1,121.9,153.4,0.06,COMPLETE
1616,1616,0.825,2026-04-04 22:58:44.738265,2026-04-04 22:59:18.766313,0 days 00:00:34.028048,353,1,118.9,154.5,0.5,COMPLETE
1617,1617,0.6875,2026-04-04 22:59:18.779698,2026-04-04 22:59:25.687259,0 days 00:00:06.907561,302,1,121.7,156.0,0.54,COMPLETE
1618,1618,0.6875,2026-04-04 22:59:25.700321,2026-04-04 22:59:32.375347,0 days 00:00:06.675026,290,1,123.0,152.1,0.35000000000000003,COMPLETE
1619,1619,0.6875,2026-04-04 22:59:32.388893,2026-04-04 22:59:39.971015,0 days 00:00:07.582122,159,2,117.3,156.9,0.9,COMPLETE
1620,1620,0.6875,2026-04-04 22:59:39.980683,2026-04-04 22:59:46.604142,0 days 00:00:06.623459,498,2,119.8,154.6,0.8300000000000001,COMPLETE
1621,1621,0.6875,2026-04-04 22:59:46.617493,2026-04-04 22:59:53.918508,0 days 00:00:07.301015,469,2,127.0,149.6,1.8800000000000001,COMPLETE
1622,1622,0.6875,2026-04-04 22:59:53.931827,2026-04-04 23:00:01.671674,0 days 00:00:07.739847,215,3,121.5,154.1,1.6,COMPLETE
1623,1623,0.6875,2026-04-04 23:00:01.685428,2026-04-04 23:00:08.273013,0 days 00:00:06.587585,310,1,123.7,153.2,0.3,COMPLETE
1624,1624,0.6875,2026-04-04 23:00:08.286432,2026-04-04 23:00:15.064593,0 days 00:00:06.778161,445,3,119.6,151.5,0.31,COMPLETE
1625,1625,0.6875,2026-04-04 23:00:15.077955,2026-04-04 23:00:22.246583,0 days 00:00:07.168628,380,1,120.2,159.7,1.07,COMPLETE
1626,1626,0.825,2026-04-04 23:00:22.255295,2026-04-04 23:00:56.294969,0 days 00:00:34.039674,362,1,121.5,156.9,0.23,COMPLETE
1627,1627,0.6875,2026-04-04 23:00:56.308649,2026-04-04 23:01:03.302489,0 days 00:00:06.993840,336,1,125.6,156.1,0.54,COMPLETE
1628,1628,0.6875,2026-04-04 23:01:03.315564,2026-04-04 23:01:10.725440,0 days 00:00:07.409876,231,2,120.1,159.8,0.79,COMPLETE
1629,1629,0.825,2026-04-04 23:01:10.738425,2026-04-04 23:01:44.927251,0 days 00:00:34.188826,423,1,123.4,157.4,0.01,COMPLETE
1630,1630,0.6875,2026-04-04 23:01:44.940365,2026-04-04 23:01:51.887143,0 days 00:00:06.946778,461,3,123.1,152.2,0.41000000000000003,COMPLETE
1631,1631,0.6875,2026-04-04 23:01:51.900063,2026-04-04 23:01:59.532170,0 days 00:00:07.632107,288,2,119.7,159.9,1.54,COMPLETE
1632,1632,0.6875,2026-04-04 23:01:59.545817,2026-04-04 23:02:07.467181,0 days 00:00:07.921364,165,3,124.2,152.7,1.47,COMPLETE
1633,1633,0.6875,2026-04-04 23:02:07.480232,2026-04-04 23:02:14.668773,0 days 00:00:07.188541,362,1,118.1,155.5,1.17,COMPLETE
1634,1634,0.671875,2026-04-04 23:02:14.682187,2026-04-04 23:02:21.329743,0 days 00:00:06.647556,370,2,120.0,152.5,0.3,COMPLETE
1635,1635,0.6875,2026-04-04 23:02:21.343216,2026-04-04 23:02:27.978518,0 days 00:00:06.635302,345,2,121.2,152.2,0.24,COMPLETE
1636,1636,0.825,2026-04-04 23:02:27.992205,2026-04-04 23:03:02.000387,0 days 00:00:34.008182,398,2,119.6,155.5,0.46,COMPLETE
1637,1637,0.6875,2026-04-04 23:03:02.009439,2026-04-04 23:03:09.053300,0 days 00:00:07.043861,383,2,119.9,149.4,0.19,COMPLETE
1638,1638,0.6875,2026-04-04 23:03:09.064549,2026-04-04 23:03:16.272219,0 days 00:00:07.207670,464,2,113.4,154.0,0.6,COMPLETE
1639,1639,0.6875,2026-04-04 23:03:16.285185,2026-04-04 23:03:23.334381,0 days 00:00:07.049196,323,1,116.5,157.9,0.96,COMPLETE
1640,1640,0.671875,2026-04-04 23:03:23.344919,2026-04-04 23:03:30.264636,0 days 00:00:06.919717,423,2,117.4,153.4,0.2,COMPLETE
1641,1641,0.6875,2026-04-04 23:03:30.278014,2026-04-04 23:03:37.070711,0 days 00:00:06.792697,331,2,120.4,152.6,0.47000000000000003,COMPLETE
1642,1642,0.6875,2026-04-04 23:03:37.083244,2026-04-04 23:03:43.532484,0 days 00:00:06.449240,401,2,119.2,153.7,0.39,COMPLETE
1643,1643,0.6875,2026-04-04 23:03:43.541787,2026-04-04 23:03:50.327066,0 days 00:00:06.785279,409,2,115.4,150.8,0.51,COMPLETE
1644,1644,0.825,2026-04-04 23:03:50.340235,2026-04-04 23:04:24.413500,0 days 00:00:34.073265,441,2,118.8,153.0,0.08,COMPLETE
1645,1645,0.825,2026-04-04 23:04:24.427231,2026-04-04 23:04:58.481872,0 days 00:00:34.054641,497,3,116.3,153.7,0.04,COMPLETE
1646,1646,0.6875,2026-04-04 23:04:58.494627,2026-04-04 23:05:05.205791,0 days 00:00:06.711164,434,2,118.4,154.3,0.45,COMPLETE
1647,1647,0.6875,2026-04-04 23:05:05.219204,2026-04-04 23:05:12.058054,0 days 00:00:06.838850,370,3,119.8,153.6,0.18,COMPLETE
1648,1648,0.6875,2026-04-04 23:05:12.071594,2026-04-04 23:05:18.989937,0 days 00:00:06.918343,337,2,116.5,150.3,0.07,COMPLETE
1649,1649,0.6875,2026-04-04 23:05:19.003388,2026-04-04 23:05:25.757029,0 days 00:00:06.753641,449,2,115.5,153.6,0.56,COMPLETE
1650,1650,0.6875,2026-04-04 23:05:25.767362,2026-04-04 23:05:33.213462,0 days 00:00:07.446100,196,2,117.6,159.5,1.86,COMPLETE
1651,1651,0.6875,2026-04-04 23:05:33.223347,2026-04-04 23:05:39.963119,0 days 00:00:06.739772,227,3,118.6,157.8,1.87,COMPLETE
1652,1652,0.6875,2026-04-04 23:05:39.972793,2026-04-04 23:05:46.965192,0 days 00:00:06.992399,387,3,115.3,152.5,0.22,COMPLETE
1653,1653,0.825,2026-04-04 23:05:46.974824,2026-04-04 23:06:05.050218,0 days 00:00:18.075394,495,2,124.8,155.1,0.77,COMPLETE
1654,1654,0.6875,2026-04-04 23:06:05.060461,2026-04-04 23:06:12.512615,0 days 00:00:07.452154,499,2,115.6,154.8,1.4000000000000001,COMPLETE
1655,1655,0.6875,2026-04-04 23:06:12.522497,2026-04-04 23:06:19.697845,0 days 00:00:07.175348,378,2,120.4,154.7,0.36,COMPLETE
1656,1656,0.6875,2026-04-04 23:06:19.709286,2026-04-04 23:06:26.727312,0 days 00:00:07.018026,399,2,116.1,152.1,0.15,COMPLETE
1657,1657,0.6875,2026-04-04 23:06:26.737773,2026-04-04 23:06:33.508650,0 days 00:00:06.770877,360,2,119.8,154.5,0.33,COMPLETE
1658,1658,0.6875,2026-04-04 23:06:33.522378,2026-04-04 23:06:40.493542,0 days 00:00:06.971164,480,2,113.9,154.0,0.08,COMPLETE
1659,1659,0.6875,2026-04-04 23:06:40.506767,2026-04-04 23:06:47.911588,0 days 00:00:07.404821,343,2,119.6,152.5,0.17,COMPLETE
1660,1660,0.6875,2026-04-04 23:06:47.924306,2026-04-04 23:06:55.461786,0 days 00:00:07.537480,210,2,116.3,148.2,1.12,COMPLETE
1661,1661,0.6875,2026-04-04 23:06:55.474964,2026-04-04 23:07:02.871603,0 days 00:00:07.396639,334,1,124.2,152.7,0.1,COMPLETE
1662,1662,0.6875,2026-04-04 23:07:02.884683,2026-04-04 23:07:09.540755,0 days 00:00:06.656072,391,2,121.0,153.2,0.66,COMPLETE
1663,1663,0.825,2026-04-04 23:07:09.553806,2026-04-04 23:07:15.450623,0 days 00:00:05.896817,359,2,118.6,152.9,0.07,COMPLETE
1664,1664,0.6875,2026-04-04 23:07:15.463602,2026-04-04 23:07:22.131508,0 days 00:00:06.667906,437,2,115.4,152.2,0.38,COMPLETE
1665,1665,0.6875,2026-04-04 23:07:22.144484,2026-04-04 23:07:28.732625,0 days 00:00:06.588141,383,2,117.7,151.8,0.33,COMPLETE
1666,1666,0.6875,2026-04-04 23:07:28.746584,2026-04-04 23:07:35.705573,0 days 00:00:06.958989,421,3,123.2,150.6,0.86,COMPLETE
1667,1667,0.6875,2026-04-04 23:07:35.718793,2026-04-04 23:07:42.461747,0 days 00:00:06.742954,455,3,123.4,154.6,0.61,COMPLETE
1668,1668,0.825,2026-04-04 23:07:42.471038,2026-04-04 23:08:16.357986,0 days 00:00:33.886948,421,2,119.5,154.6,0.13,COMPLETE
1669,1669,0.825,2026-04-04 23:08:16.371758,2026-04-04 23:08:34.831815,0 days 00:00:18.460057,421,3,126.2,154.7,0.09,COMPLETE
1670,1670,0.6875,2026-04-04 23:08:34.844967,2026-04-04 23:08:42.435704,0 days 00:00:07.590737,493,2,116.1,152.3,0.13,COMPLETE
1671,1671,0.825,2026-04-04 23:08:42.449715,2026-04-04 23:08:49.734599,0 days 00:00:07.284884,357,2,117.8,152.9,0.22,COMPLETE
1672,1672,0.825,2026-04-04 23:08:49.747726,2026-04-04 23:09:23.700139,0 days 00:00:33.952413,438,2,116.6,154.7,0.15,COMPLETE
1673,1673,0.6875,2026-04-04 23:09:23.713439,2026-04-04 23:09:30.266588,0 days 00:00:06.553149,395,2,116.7,153.4,0.22,COMPLETE
1674,1674,0.6875,2026-04-04 23:09:30.279647,2026-04-04 23:09:37.166769,0 days 00:00:06.887122,385,1,120.8,157.2,1.41,COMPLETE
1675,1675,0.6875,2026-04-04 23:09:37.180230,2026-04-04 23:09:44.279490,0 days 00:00:07.099260,373,2,118.0,150.3,0.71,COMPLETE
1676,1676,0.825,2026-04-04 23:09:44.292484,2026-04-04 23:10:18.224078,0 days 00:00:33.931594,449,2,119.7,153.0,0.38,COMPLETE
1677,1677,0.6875,2026-04-04 23:10:18.237380,2026-04-04 23:10:25.564061,0 days 00:00:07.326681,260,2,120.5,159.3,0.04,COMPLETE
1678,1678,0.6875,2026-04-04 23:10:25.577254,2026-04-04 23:10:32.700200,0 days 00:00:07.122946,376,1,126.7,155.1,1.4000000000000001,COMPLETE
1679,1679,0.6875,2026-04-04 23:10:32.714275,2026-04-04 23:10:39.890201,0 days 00:00:07.175926,383,2,119.8,151.3,0.33,COMPLETE
1680,1680,0.6875,2026-04-04 23:10:39.903358,2026-04-04 23:10:46.678484,0 days 00:00:06.775126,393,2,117.3,152.7,0.5,COMPLETE
1681,1681,0.6875,2026-04-04 23:10:46.692197,2026-04-04 23:10:54.117621,0 days 00:00:07.425424,403,3,126.5,149.6,1.94,COMPLETE
1682,1682,0.825,2026-04-04 23:10:54.130844,2026-04-04 23:11:28.874259,0 days 00:00:34.743415,295,1,122.4,156.8,0.11,COMPLETE
1683,1683,0.6875,2026-04-04 23:11:28.887252,2026-04-04 23:11:36.111623,0 days 00:00:07.224371,463,2,119.8,149.9,0.22,COMPLETE
1684,1684,0.825,2026-04-04 23:11:36.125231,2026-04-04 23:12:10.326849,0 days 00:00:34.201618,416,2,121.9,153.3,0.01,COMPLETE
1685,1685,0.6875,2026-04-04 23:12:10.339867,2026-04-04 23:12:17.275958,0 days 00:00:06.936091,290,1,123.8,156.1,0.42,COMPLETE
1686,1686,0.6875,2026-04-04 23:12:17.289452,2026-04-04 23:12:24.598047,0 days 00:00:07.308595,157,1,120.1,159.9,1.3900000000000001,COMPLETE
1687,1687,0.6875,2026-04-04 23:12:24.607689,2026-04-04 23:12:31.807225,0 days 00:00:07.199536,394,2,119.5,151.7,0.37,COMPLETE
1688,1688,0.6875,2026-04-04 23:12:31.821650,2026-04-04 23:12:38.894281,0 days 00:00:07.072631,340,1,124.7,155.7,2.0,COMPLETE
1689,1689,0.6875,2026-04-04 23:12:38.907412,2026-04-04 23:12:45.687384,0 days 00:00:06.779972,336,2,123.3,154.4,0.36,COMPLETE
1690,1690,0.6875,2026-04-04 23:12:45.697822,2026-04-04 23:12:52.213916,0 days 00:00:06.516094,500,3,123.7,153.4,0.38,COMPLETE
1691,1691,0.825,2026-04-04 23:12:52.227293,2026-04-04 23:13:26.390915,0 days 00:00:34.163622,447,1,119.5,156.4,0.72,COMPLETE
1692,1692,0.6875,2026-04-04 23:13:26.405101,2026-04-04 23:13:33.524922,0 days 00:00:07.119821,188,2,121.7,156.5,0.3,COMPLETE
1693,1693,0.6875,2026-04-04 23:13:33.537521,2026-04-04 23:13:40.423092,0 days 00:00:06.885571,406,2,117.7,154.4,0.16,COMPLETE
1694,1694,0.6875,2026-04-04 23:13:40.436264,2026-04-04 23:13:47.967683,0 days 00:00:07.531419,457,2,126.9,152.9,1.18,COMPLETE
1695,1695,0.6875,2026-04-04 23:13:47.981125,2026-04-04 23:13:55.445818,0 days 00:00:07.464693,466,2,117.1,153.3,0.29,COMPLETE
1696,1696,0.6875,2026-04-04 23:13:55.458856,2026-04-04 23:14:02.498420,0 days 00:00:07.039564,463,2,122.4,151.2,0.5,COMPLETE
1697,1697,0.6875,2026-04-04 23:14:02.511681,2026-04-04 23:14:09.384669,0 days 00:00:06.872988,366,1,121.9,154.3,0.2,COMPLETE
1698,1698,0.825,2026-04-04 23:14:09.394156,2026-04-04 23:14:43.427342,0 days 00:00:34.033186,457,2,124.1,156.7,0.36,COMPLETE
1699,1699,0.6875,2026-04-04 23:14:43.436245,2026-04-04 23:14:50.448610,0 days 00:00:07.012365,492,3,125.5,150.9,1.05,COMPLETE
1700,1700,0.6875,2026-04-04 23:14:50.461125,2026-04-04 23:14:57.401092,0 days 00:00:06.939967,491,3,119.5,149.7,0.34,COMPLETE
1701,1701,0.825,2026-04-04 23:14:57.414432,2026-04-04 23:15:32.065669,0 days 00:00:34.651237,288,1,121.6,156.1,0.0,COMPLETE
1702,1702,0.6875,2026-04-04 23:15:32.079194,2026-04-04 23:15:39.174691,0 days 00:00:07.095497,453,1,116.1,152.2,0.08,COMPLETE
1703,1703,0.6875,2026-04-04 23:15:39.184211,2026-04-04 23:15:46.728279,0 days 00:00:07.544068,449,1,127.0,153.1,1.72,COMPLETE
1704,1704,0.6875,2026-04-04 23:15:46.741419,2026-04-04 23:15:54.015711,0 days 00:00:07.274292,370,1,121.3,150.7,0.39,COMPLETE
1705,1705,0.6875,2026-04-04 23:15:54.028531,2026-04-04 23:16:01.649074,0 days 00:00:07.620543,312,2,121.9,159.0,0.79,COMPLETE
1706,1706,0.6875,2026-04-04 23:16:01.662106,2026-04-04 23:16:08.718378,0 days 00:00:07.056272,438,3,123.1,153.5,0.2,COMPLETE
1707,1707,0.6875,2026-04-04 23:16:08.731488,2026-04-04 23:16:15.878465,0 days 00:00:07.146977,318,2,121.4,149.1,0.4,COMPLETE
1708,1708,0.6875,2026-04-04 23:16:15.891462,2026-04-04 23:16:23.048609,0 days 00:00:07.157147,232,2,123.5,153.9,0.24,COMPLETE
1709,1709,0.6875,2026-04-04 23:16:23.061630,2026-04-04 23:16:30.165099,0 days 00:00:07.103469,233,1,117.9,156.6,1.19,COMPLETE
1710,1710,0.6875,2026-04-04 23:16:30.178153,2026-04-04 23:16:37.307982,0 days 00:00:07.129829,323,2,124.1,151.8,0.5,COMPLETE
1711,1711,0.6875,2026-04-04 23:16:37.321119,2026-04-04 23:16:44.471071,0 days 00:00:07.149952,305,2,118.0,157.0,1.16,COMPLETE
1712,1712,0.6875,2026-04-04 23:16:44.483401,2026-04-04 23:16:51.253084,0 days 00:00:06.769683,408,2,119.9,152.8,0.62,COMPLETE
1713,1713,0.825,2026-04-04 23:16:51.266540,2026-04-04 23:17:25.234477,0 days 00:00:33.967937,500,2,119.4,155.1,0.38,COMPLETE
1714,1714,0.6875,2026-04-04 23:17:25.247755,2026-04-04 23:17:32.197750,0 days 00:00:06.949995,357,2,121.4,153.0,0.45,COMPLETE
1715,1715,0.6875,2026-04-04 23:17:32.211095,2026-04-04 23:17:38.807600,0 days 00:00:06.596505,330,1,119.3,151.7,0.48,COMPLETE
1716,1716,0.6875,2026-04-04 23:17:38.818288,2026-04-04 23:17:45.566094,0 days 00:00:06.747806,426,2,117.3,150.9,0.23,COMPLETE
1717,1717,0.6875,2026-04-04 23:17:45.579436,2026-04-04 23:17:52.859657,0 days 00:00:07.280221,392,2,125.5,151.1,0.06,COMPLETE
1718,1718,0.6875,2026-04-04 23:17:52.872609,2026-04-04 23:18:00.208585,0 days 00:00:07.335976,160,1,125.9,154.5,0.64,COMPLETE
1719,1719,0.6875,2026-04-04 23:18:00.221683,2026-04-04 23:18:07.003914,0 days 00:00:06.782231,461,3,126.8,159.3,0.63,COMPLETE
1720,1720,0.6875,2026-04-04 23:18:07.017219,2026-04-04 23:18:14.551945,0 days 00:00:07.534726,323,2,120.1,153.7,0.11,COMPLETE
1721,1721,0.6875,2026-04-04 23:18:14.565186,2026-04-04 23:18:21.501018,0 days 00:00:06.935832,253,2,123.0,156.8,0.43,COMPLETE
1722,1722,0.6875,2026-04-04 23:18:21.514268,2026-04-04 23:18:29.015122,0 days 00:00:07.500854,373,3,115.5,149.8,2.0,COMPLETE
1723,1723,0.6875,2026-04-04 23:18:29.028478,2026-04-04 23:18:36.668662,0 days 00:00:07.640184,233,2,116.9,159.6,0.84,COMPLETE
1724,1724,0.825,2026-04-04 23:18:36.682203,2026-04-04 23:19:11.490192,0 days 00:00:34.807989,339,1,122.2,152.9,0.38,COMPLETE
1725,1725,0.6875,2026-04-04 23:19:11.503095,2026-04-04 23:19:18.153144,0 days 00:00:06.650049,301,1,123.9,153.9,1.78,COMPLETE
1726,1726,0.6875,2026-04-04 23:19:18.166287,2026-04-04 23:19:24.746872,0 days 00:00:06.580585,328,1,121.8,151.3,1.86,COMPLETE
1727,1727,0.6875,2026-04-04 23:19:24.760554,2026-04-04 23:19:31.905973,0 days 00:00:07.145419,236,1,126.3,154.4,0.32,COMPLETE
1728,1728,0.6875,2026-04-04 23:19:31.919255,2026-04-04 23:19:38.629655,0 days 00:00:06.710400,443,2,123.5,152.8,0.53,COMPLETE
1729,1729,0.6875,2026-04-04 23:19:38.643051,2026-04-04 23:19:45.804833,0 days 00:00:07.161782,248,2,121.4,157.6,1.8,COMPLETE
1730,1730,0.825,2026-04-04 23:19:45.818036,2026-04-04 23:20:20.060111,0 days 00:00:34.242075,408,2,119.8,152.0,0.08,COMPLETE
1731,1731,0.6875,2026-04-04 23:20:20.073123,2026-04-04 23:20:27.082517,0 days 00:00:07.009394,494,2,124.9,149.0,0.28,COMPLETE
1732,1732,0.6875,2026-04-04 23:20:27.095521,2026-04-04 23:20:34.353518,0 days 00:00:07.257997,332,2,118.6,152.0,0.45,COMPLETE
1733,1733,0.6875,2026-04-04 23:20:34.367163,2026-04-04 23:20:41.169933,0 days 00:00:06.802770,383,1,120.5,153.1,0.43,COMPLETE
1734,1734,0.6875,2026-04-04 23:20:41.181084,2026-04-04 23:20:47.963954,0 days 00:00:06.782870,314,2,122.9,154.5,1.83,COMPLETE
1735,1735,0.6875,2026-04-04 23:20:47.977122,2026-04-04 23:20:54.831802,0 days 00:00:06.854680,218,1,123.4,153.9,0.3,COMPLETE
1736,1736,0.825,2026-04-04 23:20:54.845308,2026-04-04 23:21:14.984730,0 days 00:00:20.139422,374,2,117.0,154.5,0.04,COMPLETE
1737,1737,0.6875,2026-04-04 23:21:14.998351,2026-04-04 23:21:22.281210,0 days 00:00:07.282859,279,2,116.5,149.3,1.34,COMPLETE
1738,1738,0.825,2026-04-04 23:21:22.295287,2026-04-04 23:21:56.574386,0 days 00:00:34.279099,497,3,121.0,152.4,0.09,COMPLETE
1739,1739,0.6875,2026-04-04 23:21:56.588061,2026-04-04 23:22:03.270865,0 days 00:00:06.682804,418,3,120.3,153.0,0.55,COMPLETE
1740,1740,0.6875,2026-04-04 23:22:03.283873,2026-04-04 23:22:10.513006,0 days 00:00:07.229133,313,3,118.8,159.3,1.1,COMPLETE
1741,1741,0.6875,2026-04-04 23:22:10.526094,2026-04-04 23:22:16.972583,0 days 00:00:06.446489,343,2,117.4,159.7,1.42,COMPLETE
1742,1742,0.6875,2026-04-04 23:22:16.985647,2026-04-04 23:22:24.807852,0 days 00:00:07.822205,402,3,126.1,151.0,0.52,COMPLETE
1743,1743,0.825,2026-04-04 23:22:24.821237,2026-04-04 23:22:59.318044,0 days 00:00:34.496807,499,2,123.2,156.5,0.54,COMPLETE
1744,1744,0.825,2026-04-04 23:22:59.331001,2026-04-04 23:23:04.684388,0 days 00:00:05.353387,317,1,124.7,154.2,0.33,COMPLETE
1745,1745,0.6875,2026-04-04 23:23:04.697678,2026-04-04 23:23:11.769387,0 days 00:00:07.071709,234,2,123.4,158.7,1.18,COMPLETE
1746,1746,0.6875,2026-04-04 23:23:11.781581,2026-04-04 23:23:18.527175,0 days 00:00:06.745594,460,2,120.6,155.2,0.56,COMPLETE
1747,1747,0.825,2026-04-04 23:23:18.540767,2026-04-04 23:23:52.790801,0 days 00:00:34.250034,417,3,122.8,150.9,0.18,COMPLETE
1748,1748,0.671875,2026-04-04 23:23:52.804737,2026-04-04 23:24:00.007391,0 days 00:00:07.202654,336,1,119.4,154.3,0.39,COMPLETE
1749,1749,0.825,2026-04-04 23:24:00.020830,2026-04-04 23:24:34.280143,0 days 00:00:34.259313,324,1,124.4,154.4,0.03,COMPLETE
1750,1750,0.6875,2026-04-04 23:24:34.293736,2026-04-04 23:24:41.347560,0 days 00:00:07.053824,329,1,117.9,154.3,0.54,COMPLETE
1751,1751,0.825,2026-04-04 23:24:41.360611,2026-04-04 23:25:15.240479,0 days 00:00:33.879868,423,1,119.2,155.3,0.59,COMPLETE
1752,1752,0.6875,2026-04-04 23:25:15.254019,2026-04-04 23:25:21.943053,0 days 00:00:06.689034,415,1,116.9,153.2,0.4,COMPLETE
1753,1753,0.6875,2026-04-04 23:25:21.956303,2026-04-04 23:25:29.003130,0 days 00:00:07.046827,295,1,121.7,154.1,0.7000000000000001,COMPLETE
1754,1754,0.6875,2026-04-04 23:25:29.016608,2026-04-04 23:25:35.805430,0 days 00:00:06.788822,362,1,121.3,157.7,0.36,COMPLETE
1755,1755,0.6875,2026-04-04 23:25:35.818690,2026-04-04 23:25:42.912698,0 days 00:00:07.094008,500,1,115.8,154.7,0.51,COMPLETE
1756,1756,0.825,2026-04-04 23:25:42.923485,2026-04-04 23:26:17.185409,0 days 00:00:34.261924,478,1,121.5,152.3,0.1,COMPLETE
1757,1757,0.6875,2026-04-04 23:26:17.198751,2026-04-04 23:26:23.914873,0 days 00:00:06.716122,494,1,118.0,153.5,1.3900000000000001,COMPLETE
1758,1758,0.6875,2026-04-04 23:26:23.927918,2026-04-04 23:26:31.105131,0 days 00:00:07.177213,291,2,123.6,154.8,0.3,COMPLETE
1759,1759,0.6875,2026-04-04 23:26:31.118028,2026-04-04 23:26:37.889863,0 days 00:00:06.771835,274,1,118.9,155.0,0.84,COMPLETE
